TestInsertIntoSorted,1T 2T 3T 4T,1,2024-04-15 17:47:57.58,NaN,N/A
TestRemoveLongNumbers,1T 2T 3T 4T 5T 6T 7T 8T,1,2024-04-15 17:47:57.58,NaN,N/A
TestCheckSorted,1T 2F 3F 4T 5T 6T,0,2024-04-15 17:47:57.58,NaN,N/A
TestArrayListOf1s,1T 2T 3T 4T 5T,1,2024-04-15 17:48:35.285,NaN,N/A
TestInsertIntoSorted,1T 2T 3T 4T,1,2024-04-15 17:48:35.285,NaN,N/A
TestRemoveLongNumbers,1T 2T 3T 4T 5T 6T 7T 8T,1,2024-04-15 17:48:35.285,NaN,N/A
TestCheckSorted,1T 2T 3T 4T 5T 6T,1,2024-04-15 17:48:35.285,NaN,N/A
TestArrayListOf1s,1T 2T 3T 4T 5T,1,2024-04-15 17:53:36.314,NaN,N/A
TestInsertIntoSorted,1T 2T 3T 4T,1,2024-04-15 17:53:36.314,NaN,N/A
TestRemoveLongNumbers,1T 2T 3T 4T 5T 6T 7T 8T,1,2024-04-15 17:53:36.314,NaN,N/A
TestCheckSorted,1T 2T 3T 4T 5T 6T,1,2024-04-15 17:53:36.314,NaN,N/A
TestDoubleList,1F 2F 3F 4F,0,2024-04-15 17:53:36.314,NaN,N/A
TestArrayListOf1s,1T 2T 3T 4T 5T,1,2024-04-15 17:53:52.388,NaN,N/A
TestInsertIntoSorted,1T 2T 3T 4T,1,2024-04-15 17:53:52.388,NaN,N/A
TestRemoveLongNumbers,1T 2T 3T 4T 5T 6T 7T 8T,1,2024-04-15 17:53:52.388,NaN,N/A
TestCheckSorted,1T 2T 3T 4T 5T 6T,1,2024-04-15 17:53:52.388,NaN,N/A
TestDoubleList,1T 2F 3F 4F,0,2024-04-15 17:53:52.388,NaN,N/A
TestArrayListOf1s,1T 2T 3T 4T 5T,1,2024-04-15 17:54:58.821,NaN,N/A
TestInsertIntoSorted,1T 2T 3T 4T,1,2024-04-15 17:54:58.821,NaN,N/A
TestRemoveLongNumbers,1T 2T 3T 4T 5T 6T 7T 8T,1,2024-04-15 17:54:58.821,NaN,N/A
TestCheckSorted,1T 2T 3T 4T 5T 6T,1,2024-04-15 17:54:58.821,NaN,N/A
TestDoubleList,1T 2F 3F 4F,0,2024-04-15 17:54:58.821,NaN,N/A
TestArrayListOf1s,1T 2T 3T 4T 5T,1,2024-04-15 17:55:32.903,NaN,N/A
TestInsertIntoSorted,1T 2T 3T 4T,1,2024-04-15 17:55:32.903,NaN,N/A
TestRemoveLongNumbers,1T 2T 3T 4T 5T 6T 7T 8T,1,2024-04-15 17:55:32.903,NaN,N/A
TestCheckSorted,1T 2T 3T 4T 5T 6T,1,2024-04-15 17:55:32.903,NaN,N/A
TestDoubleList,1T 2F 3F 4F,0,2024-04-15 17:55:32.903,NaN,N/A
TestArrayListOf1s,1T 2T 3T 4T 5T,1,2024-04-15 17:56:03.154,NaN,N/A
TestInsertIntoSorted,1T 2T 3T 4T,1,2024-04-15 17:56:03.154,NaN,N/A
TestRemoveLongNumbers,1T 2T 3T 4T 5T 6T 7T 8T,1,2024-04-15 17:56:03.154,NaN,N/A
TestCheckSorted,1T 2T 3T 4T 5T 6T,1,2024-04-15 17:56:03.154,NaN,N/A
TestDoubleList,1T 2T 3T 4T,1,2024-04-15 17:56:03.154,NaN,N/A
TestArrayListOf1s,1T 2T 3T 4T 5T,1,2024-04-15 18:01:17.52,NaN,N/A
